method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
rule,0.039999999999999925,0.039999999999999925,0.03500000000000002,0.034999999999999996,0.039999999999999925,0.039999999999999925,0.035,0.035,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,401,407,264,255,0.0,11
global,0.015699229948277653,0.019797396488774686,0.008780066160337023,0.010843407638996152,0.013542147758801745,0.0172032567501472,0.008648254732468424,0.010936721380585874,0.01554061971853881,0.009493018075628953,0.0,0.0,0.0,0,0.0008567217540137781,0.00020578133284375412,-0.9994697009419263,376,382,250,255,0.0,11
full,0.018304048803741056,0.02247152411882184,0.004787248127709868,0.006397582265621252,0.020665419436520498,0.024533156478123066,0.005327408366825346,0.007600535251617396,0.01434568979172141,0.004288408650469942,0.0,0.0,0.0,0,0.0016619297086549233,0.00014164686075330163,-0.9994429260706787,363,369,240,255,0.0,11
rule,0.039999999999999925,0.039999999999999925,0.03500000000000002,0.034999999999999996,0.039999999999999925,0.039999999999999925,0.035,0.035,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,375,384,271,262,0.0,22
global,0.016403388751706754,0.021786588423297216,0.008453623891447057,0.010748894209325486,0.01540922539381684,0.019909319122766098,0.008703788839705361,0.01156715265230146,0.015332688484715966,0.008001594537831397,0.0,0.0,0.0,0,0.000883244407278038,0.00022206245132795144,-0.9992351337973788,373,381,262,262,0.0,22
full,0.01879447695737006,0.021412554040030316,0.0053780428241752415,0.006857702645303939,0.021825397089688718,0.023546714911663352,0.004762386366678458,0.0058741376065485065,0.01410529029212472,0.004707152158608132,0.0,0.0,0.0,0,0.0007632301236579641,0.00019079404684944144,-0.9994841431953497,378,386,259,262,0.0,22
rule,0.028799999999999992,0.03259447805994133,0.030800000000000015,0.03132730438451416,0.008000000000000118,0.008000000000000118,0.022999999999999996,0.023000000000000003,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,420,430,276,255,0.1,11
global,0.028513073894647672,0.035940380292588815,0.010005908072867437,0.012333888094079589,0.05067151545343793,0.05383736252592037,0.013824455971432422,0.016150404260372245,0.015073675643344397,0.008099397102738631,0.0,0.0,0.0,0,0.000867730954192568,0.00020870790312459942,-0.9993329060511269,400,410,271,255,0.1,11
full,0.022619394825297495,0.028021203360553925,0.006767403717421118,0.008499122111884786,0.03378097568852117,0.03845317944327175,0.010611807119819737,0.011875747624598877,0.013602124075536758,0.004920290690543874,0.0,0.0,0.0,0,0.001784969959815188,0.00015141185135163058,-0.9994169968090505,376,386,258,255,0.1,11
rule,0.028799999999999992,0.03259447805994133,0.030800000000000015,0.03132730438451416,0.008000000000000118,0.008000000000000118,0.022999999999999996,0.023000000000000003,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,347,358,261,262,0.1,22
