method,sec,rep_lane,rep_dev,pd_true,pf_true,pd_hat,pf_hat,pd_var,pf_var,pd_ci_low,pd_ci_high,pf_ci_low,pf_ci_high
full,0,1,21,0.94,0.015,0.95,0.021048995905206452,0.004318181818181818,0.0007505334490201131,0.8212027668281369,1.0,0.0,0.07474489237556689
full,1,1,21,0.94,0.015,0.95,0.01812788353830318,0.004318181818181818,0.0006649357010163109,0.8212027668281369,1.0,0.0,0.06866912401599883
full,2,1,21,0.94,0.015,0.95,0.02152307632082097,0.004318181818181818,0.000646206413962042,0.8212027668281369,1.0,0.0,0.07134743341528413
full,3,1,21,0.94,0.015,0.95,0.046711531133525636,0.004318181818181818,0.0016348749235606489,0.8212027668281369,1.0,0.0,0.1259613608264063
full,4,1,21,0.94,0.015,0.95,0.048953433447597304,0.004318181818181818,0.0015535480893483504,0.8212027668281369,1.0,0.0,0.12620697925645077
full,5,1,21,0.94,0.015,0.9529460881088243,0.040984545358727,0.0038937903337627226,0.001404471037045793,0.8306416117141197,1.0,0.0,0.11443804041454525
full,6,1,21,0.94,0.015,0.9559276681765037,0.04201273422188763,0.0035274800137405343,0.0013335817383411338,0.8395181873736686,1.0,0.0,0.11358848155302835
full,7,1,21,0.94,0.015,0.9579349905376444,0.040998557862229015,0.003319211011805031,0.0012545958165113586,0.845014305882661,1.0,0.0,0.11042229507587976
full,8,1,21,0.94,0.015,0.9597730528913213,0.037787302047062765,0.003157185510951755,0.0011654603311565823,0.8496429304957103,1.0,0.0,0.10469942656998556
full,9,1,21,0.94,0.015,0.9455883904049642,0.03722629021473982,0.003660746417379541,0.0011027688852537829,0.8270003495365645,1.0,0.0,0.10231390001561462
full,10,1,21,0.94,0.015,0.9481476105173878,0.03678939658590958,0.0034972246214621332,0.0010462852321867864,0.8322384300966423,1.0,0.0,0.10018820846727497
full,11,1,21,0.94,0.015,0.9508193938863585,0.037706617508894966,0.003343002671877281,0.0010047974739456464,0.8374947316795653,1.0,0.0,0.09983575701613098
full,12,1,21,0.94,0.015,0.9524248235697448,0.03561566222852456,0.0032587326279096907,0.00094445603264469,0.8405376157961219,1.0,0.0,0.09585038888190817
full,13,1,21,0.94,0.015,0.9545671872231882,0.038979105455461426,0.003156429734777689,0.0009291477859170353,0.8444502472497128,1.0,0.0,0.09872367955536512
full,14,1,21,0.94,0.015,0.9559308562064064,0.0336783066960661,0.003097514393745493,0.0008516284223617015,0.8468464334183076,1.0,0.0,0.09087634641199266
full,15,1,21,0.94,0.015,0.9573217869445277,0.030859477891648883,0.0030425151114269284,0.0007955724385830168,0.8492101499573019,1.0,0.0,0.08614302951471772
full,16,1,21,0.94,0.015,0.9588497682748436,0.029923404116287907,0.0029881525575516992,0.0007566927792296475,0.8517083343424446,1.0,0.0,0.08383918084897177
full,17,1,21,0.94,0.015,0.9604652663686284,0.030364243913143418,0.00293772540981708,0.0007308685486925736,0.8542317220695075,1.0,0.0,0.08335202190635041
full,18,1,21,0.94,0.015,0.9552134245080195,0.032325073800926744,0.0030139956255443028,0.0007187347830272533,0.8476096811015237,1.0,0.0,0.08487116349823434
full,19,1,21,0.94,0.015,0.9459452911617033,0.030417591461619663,0.0031329635728237267,0.000679045367629859,0.8362384415060887,1.0,0.0,0.08149224940748227
full,20,1,21,0.94,0.015,0.9490981009011097,0.02525387398341661,0.0030671990511980697,0.0006157813851362958,0.8405487947076452,1.0,0.0,0.07389116183070096
full,21,1,21,0.94,0.015,0.9518396805126264,0.023209754832748147,0.0030147347944211454,0.0005781016855321264,0.8442227432478617,1.0,0.0,0.0703354955180702
full,22,1,21,0.94,0.015,0.9459555421822932,0.025179246643774515,0.003067031862791946,0.0005734416860603185,0.8374091944588367,1.0,0.0,0.07211466590438537
full,23,1,21,0.94,0.015,0.9492323578421813,0.02609332689792187,0.003016718021353108,0.0005617141113786844,0.8415800287878125,1.0,0.0,0.07254632389781795
full,24,1,21,0.94,0.015,0.9524073392147521,0.025762383197437465,0.0029714248639406858,0.0005415609797292118,0.8455662153096071,1.0,0.0,0.07137445023816409
full,25,1,21,0.94,0.015,0.954617056568613,0.02786886794190549,0.002941982046379239,0.0005411888734503206,0.8483065762321452,1.0,0.0,0.07346526227574238
full,26,1,21,0.94,0.015,0.9536371092971438,0.025073003529659393,0.0029449163602783155,0.000504359667683769,0.8472736254803509,1.0,0.0,0.06909059205258926
full,27,1,21,0.94,0.015,0.9528567265972574,0.023833762918815553,0.002946292400323683,0.00048034319839983865,0.8464683960102825,1.0,0.0,0.06679056018039943
full,28,1,21,0.94,0.015,0.9458196490249972,0.020287577484269032,0.0030020094450485825,0.00043914541117883946,0.8384300802387382,1.0,0.0,0.06136093882205863
full,29,1,21,0.94,0.015,0.9466832323905879,0.023083807149289346,0.002989066495567566,0.0004482382742081319,0.8395254148998778,1.0,0.0,0.06458021849048799
full,30,1,21,0.94,0.015,0.9502200168972696,0.022867060120451504,0.0029559029921084764,0.000434571131780763,0.8436583120756785,1.0,0.0,0.06372594483172304
full,31,1,21,0.94,0.015,0.9511491273553436,0.025247348307309944,0.002944554810536075,0.00044146388643339117,0.8447921729040461,1.0,0.0,0.06642899065098676
full,32,1,21,0.94,0.015,0.9488437572457271,0.021063741356681893,0.002959959212319189,0.0003986895978372523,0.8422089631584059,1.0,0.0,0.060199478976555476
full,33,1,21,0.94,0.015,0.9526216317897933,0.022841433854599053,0.0029282238850812004,0.00040235071154598993,0.8465600229158565,1.0,0.0,0.062156449986798146
full,34,1,21,0.94,0.015,0.9502962124321785,0.01834159702960947,0.002944312700916338,0.0003579728971217815,0.8439436305554784,1.0,0.0,0.055425133559760364
full,35,1,21,0.94,0.015,0.9433858087960505,0.01853117374643329,0.002993251503590173,0.0003505333813093953,0.8361530014272606,1.0,0.0,0.05522734572169759
full,36,1,21,0.94,0.015,0.9451352859912446,0.019891246108693007,0.002979256587084496,0.0003526641088266796,0.8381534552677812,1.0,0.0,0.05669877849635209
full,37,1,21,0.94,0.015,0.9493300708945067,0.01672074541314199,0.0029477378700970974,0.00031989136054855465,0.8429156461121258,1.0,0.0,0.051776339127745194
full,38,1,21,0.94,0.015,0.945304637582131,0.018263274285875385,0.0029758570419013627,0.00032440290171726927,0.838383861246714,1.0,0.0,0.053565203230864514
full,39,1,21,0.94,0.015,0.9495715956695867,0.020579524145972646,0.0029444994731239304,0.00033510175243228063,0.8432156406132153,1.0,0.0,0.056458862101735556
full,40,1,21,0.94,0.015,0.9459110212142623,0.021584794091384016,0.002970130070730437,0.0003359138447854838,0.8390931777623463,1.0,0.0,0.057507581095288855
full,41,1,21,0.94,0.015,0.9447855818266324,0.0164321717064776,0.002977528995869335,0.0002896057785371395,0.8378347735523064,1.0,0.0,0.04978707477676511
full,42,1,21,0.94,0.015,0.9467918399005133,0.014622201090130231,0.0029630188644316846,0.0002692208112261908,0.8401019468946584,1.0,0.0,0.046781782374819475
full,43,1,21,0.94,0.015,0.9463170470224092,0.017985520323944678,0.0029660227575908455,0.0002896775547110691,0.8395730868861982,1.0,0.0,0.05134455649374495
full,44,1,21,0.94,0.015,0.9534498710236763,0.022113390113176444,0.0024937098121772575,0.00031559908551388955,0.8555732363529841,1.0,0.0,0.05693300307642114
full,45,1,21,0.94,0.015,0.9545381662559516,0.01860883279703043,0.0024856790059801927,0.0002835588304425415,0.8568192608723283,1.0,0.0,0.051613674911909074
full,46,1,21,0.94,0.015,0.952567373225575,0.018893151692385677,0.0024997448237428816,0.00028065327117465734,0.8545723748078463,1.0,0.0,0.05172846205401564
full,47,1,21,0.94,0.015,0.9590226699944666,0.016103096477784094,0.00212529488763871,0.000254269014321689,0.8686648654596458,1.0,0.0,0.047356893773763994
full,48,1,21,0.94,0.015,0.9594266335245736,0.013497346726822217,0.002122260085343938,0.0002292658776849135,0.8691333649833514,1.0,0.0,0.04317474209289779
full,49,1,21,0.94,0.015,0.9618958952106194,0.01868258406258303,0.002103956372312586,0.00026512842580769444,0.871992842982811,1.0,0.0,0.050596802846423546
full,50,1,21,0.94,0.015,0.9618348192732559,0.017173653487290823,0.002104372382624788,0.0002493329805709117,0.8719228793259308,1.0,0.0,0.048122604651445224
full,51,1,21,0.94,0.015,0.9621232481779634,0.015008519847110801,0.0021021932385541517,0.00022854789047132968,0.8722578736156236,1.0,0.0,0.044639408730751465
full,52,1,21,0.94,0.015,0.962309912447485,0.01954113843201275,0.002100778015233843,0.0002595093678932444,0.8724747922364988,1.0,0.0,0.05111535556717998
full,53,1,21,0.94,0.015,0.9599580133156294,0.013853553375075916,0.0021181751704212274,0.0002120430785223222,0.8697516846313835,1.0,0.0,0.04239448346593583
full,54,1,21,0.94,0.015,0.9627461726101656,0.015994419489479737,0.002097488755243771,0.0002251651313479481,0.8729814089100116,1.0,0.0,0.045405206092123965
full,55,1,21,0.94,0.015,0.9557629788274692,0.014945649769694798,0.0021485769974902147,0.00021368399333974118,0.8649115980258633,1.0,0.0,0.04359680033671304
full,56,1,21,0.94,0.015,0.9569083261454057,0.015377884777705348,0.0021403358047314015,0.0002138045897939909,0.8662313498644547,1.0,0.0,0.044037119103705676
full,57,1,21,0.94,0.015,0.9579469671226242,0.012030857118309372,0.0021328140329579743,0.00018462095707848217,0.8674294639035707,1.0,0.0,0.038662414878093104
full,58,1,21,0.94,0.015,0.9562270024015163,0.01361331546016939,0.0021452207484779647,0.00019406495567155608,0.8654466078917271,1.0,0.0,0.04091752637548152
full,59,1,21,0.94,0.015,0.9551381696639725,0.018504418826746107,0.0021530040069495074,0.0002287549906150941,0.8641932402115988,1.0,0.0,0.048148729780906355
full,60,1,21,0.94,0.015,0.9552772830186825,0.014066185440751024,0.0021520066429081834,0.00019202504309382817,0.8643534208075112,1.0,0.0,0.04122651322870767
full,61,1,21,0.94,0.015,0.9526890768796044,0.01565776404743617,0.002170316989775103,0.00020168084285693578,0.8613792211797948,1.0,0.0,0.04349258263709478
full,62,1,21,0.94,0.015,0.9488254632882289,0.017282658353770994,0.0021970863232235586,0.00021155413078706794,0.8569542119671785,1.0,0.0,0.04579066334941389
full,63,1,21,0.94,0.015,0.9018789447514163,0.014280144118386046,0.005046592482416364,0.00018612922258921393,0.7626417741379242,1.0,0.0,0.041020264191017064
full,64,1,21,0.94,0.015,0.9081041610006653,0.013213576743854809,0.0050025674791103845,0.00017554751277942243,0.7694756530098827,1.0,0.0,0.0391824682314295
full,65,1,21,0.94,0.015,0.9103418808920511,0.01491164490800687,0.004986312614574435,0.00018642542180183027,0.7719387792644172,1.0,0.0,0.04167303314542667
full,66,1,21,0.94,0.015,0.902836946093429,0.011929258500133353,0.005039928074096384,0.0001611785583815418,0.7636917424770318,1.0,0.0,0.036812657582222824
full,67,1,21,0.94,0.015,0.8989278347673502,0.011195408522383201,0.005066842563769631,0.00015338239076503302,0.7594115905770144,1.0,0.0,0.03546954686678074
full,68,1,21,0.94,0.015,0.9002969958867528,0.011114090845765822,0.005057493844570605,0.00015076883630585724,0.7609095202897594,1.0,0.0,0.035180531412508986
