true_vid,n_detected_events,n_track_segments
27,68,2
28,70,2
29,70,1
30,68,3
31,66,2
32,68,2
33,66,1
34,70,1
35,68,2
36,69,5
37,68,7
38,68,3
39,69,1
205,67,1
206,69,2
40,72,1
237,69,2
238,67,2
41,67,5
42,70,3
43,68,2
245,67,5
246,66,2
44,69,6
45,70,1
1,67,5
46,67,1
226,68,1
225,69,6
47,68,1
2,67,1
3,69,1
48,65,1
49,65,3
4,70,1
163,69,1
164,68,1
5,68,1
50,68,2
51,67,6
52,69,3
229,70,1
230,69,2
6,69,1
208,69,3
207,69,1
7,70,2
232,68,4
231,66,1
53,69,4
187,70,1
188,70,1
54,66,1
189,66,3
190,70,2
55,69,4
243,65,4
244,68,1
8,67,4
56,65,7
186,68,2
9,69,2
185,66,1
57,66,1
204,66,2
203,65,1
58,66,2
216,69,1
215,68,2
197,64,1
198,65,1
59,71,2
10,67,1
60,63,1
61,65,6
62,69,3
63,65,2
180,69,1
179,69,3
64,71,3
11,66,4
65,67,2
242,70,5
241,69,2
66,68,4
67,66,2
68,66,3
69,67,3
145,66,1
146,68,2
70,70,3
176,65,6
175,67,2
71,65,7
72,63,3
202,65,1
201,68,5
165,67,1
166,64,2
73,70,4
74,65,3
155,65,3
156,67,1
75,67,1
12,61,2
76,67,1
13,66,1
77,69,5
78,61,2
154,64,2
153,67,4
14,69,2
79,65,1
184,67,1
183,64,5
15,69,4
80,71,2
192,64,3
191,69,4
16,65,3
81,68,3
82,64,1
195,67,2
196,66,3
83,66,2
84,65,1
85,68,4
86,68,3
233,68,1
234,68,4
87,67,2
88,65,3
89,69,6
90,65,1
91,63,3
17,67,1
92,70,2
151,67,1
152,67,2
167,68,1
168,68,4
148,66,2
147,69,3
93,67,3
18,66,2
94,68,3
95,68,6
96,66,2
214,64,1
213,69,1
97,68,1
98,67,3
218,67,1
217,64,2
99,67,4
100,65,1
101,68,3
224,69,1
223,67,2
102,68,1
211,70,1
212,65,3
103,65,5
104,71,4
105,67,1
174,65,1
106,66,5
173,66,1
107,63,2
158,66,1
157,68,1
108,68,6
109,70,2
110,67,4
19,67,5
111,70,5
112,69,6
221,66,2
222,66,5
113,67,2
114,70,2
159,67,1
160,71,1
115,70,1
116,68,1
235,68,1
236,67,1
219,70,1
220,68,1
117,67,4
118,68,1
171,65,1
172,68,6
119,69,1
120,68,1
177,68,1
178,68,3
121,68,2
169,68,2
170,68,3
122,68,5
123,67,1
124,68,4
125,69,5
20,65,3
228,68,1
227,66,1
126,67,1
127,68,1
150,68,1
149,67,1
128,70,2
21,65,6
129,69,1
210,72,2
209,65,1
22,66,1
23,64,3
200,66,1
199,67,2
24,67,4
130,69,1
131,68,2
25,65,2
240,69,1
239,68,2
132,69,5
144,71,4
143,69,1
133,62,6
134,68,1
141,68,2
142,68,4
248,69,1
247,66,3
26,63,1
135,67,2
136,71,2
137,70,1
138,67,6
249,69,1
250,67,2
139,67,3
194,65,5
193,66,1
140,70,3
181,70,4
182,67,3
162,67,1
161,65,2
