method,rep_lane,rep_dev,pd_MAE_rep,pd_RMSE_rep,pf_MAE_rep,pf_RMSE_rep,pd_convergence_degrade_s,pd_convergence_recover_s,pf_convergence_degrade_s,pf_convergence_recover_s,pd_posterior_variance_mean,pf_posterior_variance_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
rule,1,21,0.03999999999999993,0.039999999999999925,0.03500000000000001,0.035,0.0,0.0,0.0,0,0.0,0.0,,401,407,264,255,0.0,11
global,1,21,0.01569922994827765,0.019797396488774686,0.008780066160337023,0.01084340763899615,0.0,0.0,0.0,0,0.0008567217540137781,0.00020578133284375412,-0.9994697009419263,376,382,250,255,0.0,11
full,1,21,0.01603248386283546,0.020715601214440663,0.003566505553419006,0.00435344245077444,0.0,0.0,0.0,0,0.0016619297086549233,0.00014164686075330163,-0.9994429260706787,363,369,240,255,0.0,11
rule,1,21,0.03999999999999993,0.039999999999999925,0.03500000000000001,0.035,0.0,0.0,0.0,0,0.0,0.0,,375,384,271,262,0.0,22
global,1,21,0.016403388751706754,0.021786588423297216,0.008453623891447059,0.010748894209325486,0.0,0.0,0.0,0,0.000883244407278038,0.00022206245132795144,-0.9992351337973788,373,381,262,262,0.0,22
full,1,21,0.01654497434223211,0.018622022227820473,0.005830775879212783,0.007530238950171495,0.0,0.0,0.0,0,0.0007632301236579641,0.00019079404684944144,-0.9994841431953497,378,386,259,262,0.0,22
rule,1,21,0.03999999999999993,0.039999999999999925,0.03500000000000001,0.035,0.0,0.0,0.0,0,0.0,0.0,,411,421,288,282,0.0,33
global,1,21,0.018873964111364435,0.02702466430937377,0.008548339989534057,0.010634466852730954,0.0,0.0,0.0,0,0.0010076044277119766,0.00020772853841916766,-0.9992869529488373,394,405,277,282,0.0,33
full,1,21,0.01997851213920163,0.023178148028772917,0.004026747643150011,0.004923816491084693,0.0,0.0,0.0,0,0.0013335742440251292,0.00012907553151395064,-0.999528567157738,388,400,275,282,0.0,33
rule,1,21,0.053999999999999986,0.05727128425310541,0.024500000000000004,0.028372521918222218,,0.0,0.0,0,0.0,0.0,,412,420,274,255,0.25,11
