method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
global,31,1,889,30970,1,205.0,0.0,33520.476349163815,0.9389146418774005
global,31,1,890,31693,2,205.0,41.181818181819835,33606.91715365195,0.929484954622291
global,31,1,891,32363,3,205.0,83.76884422110743,33520.58499714967,0.9389026695556911
global,31,1,892,33058,4,205.0,118.89039609332394,33460.38553611169,0.9455833857515585
global,31,1,893,33659,5,205.0,261.0194241710269,33460.38553611169,0.9455833857515585
global,31,1,894,34339,6,205.0,219.2428375308009,33429.18086989119,0.9490839173443044
global,31,1,895,35003,7,205.0,263.271614546793,33776.2421027948,0.9115518813516319
global,31,1,896,36342,9,205.0,556.9091525835902,33675.21839935025,0.922166985513492
global,31,1,897,36927,10,205.0,257.7953969789669,33675.21839935025,0.922166985513492
global,31,1,898,37624,11,205.0,187.51011544914945,33408.41850810211,0.9514274286289898
global,31,1,899,38302,12,205.0,238.2555911825766,33709.562594453135,0.9185306280587463
global,31,1,900,38975,13,205.0,266.8682032980214,33709.562594453135,0.9185306280587463
global,31,1,901,39607,14,205.0,325.13446786953864,33592.077939067014,0.9310902504300016
global,31,1,902,40325,15,205.0,251.60323546259315,33698.667082125874,0.9196811332667848
global,31,1,903,40902,16,205.0,401.5264468622627,33698.667082125874,0.9196811332667848
global,31,1,904,41566,17,205.0,320.87105111726123,33616.68047817876,0.9284317806908975
global,31,1,905,42202,18,205.0,353.36145076179673,33494.0333739701,0.9418375991452941
global,31,1,906,42920,19,205.0,274.5291719014858,33494.0333739701,0.9418375991452941
global,31,1,907,43642,20,205.0,272.75867321561236,33658.61777212938,0.9239349986958243
global,31,1,908,44213,21,205.0,425.3252931491006,33548.49767810466,0.9358369506832143
global,31,1,909,44801,22,205.0,409.42486634598754,33548.49767810466,0.9358369506832143
global,31,1,910,45484,23,205.0,315.1960127897328,33452.44459870388,0.9464717463190171
global,31,1,911,46125,24,205.0,357.73652516508446,33544.11506809315,0.9363169779717645
global,31,1,912,46823,25,205.0,301.1152322510243,33544.11506809315,0.9363169779717645
global,31,1,913,47484,26,205.0,338.38049814113765,33311.89468992442,0.9624761018324148
global,31,1,914,48151,27,205.0,332.56626808947476,33275.81788314113,0.9666718278439884
global,31,1,915,49424,29,205.0,726.3926963031699,33354.54555762362,0.9575625561943234
global,31,1,916,50072,30,205.0,205.57720164576313,33332.989147579836,0.9600396518365143
global,31,1,917,50811,31,205.0,153.7948580890661,33332.989147579836,0.9600396518365143
global,31,1,918,51480,32,205.0,253.46268087219505,33270.668972661406,0.967273630034511
global,31,1,919,52042,33,205.0,382.43128177907056,33407.353525560575,0.951547948552168
global,31,1,920,52677,34,205.0,325.4424485157724,33407.353525560575,0.951547948552168
global,31,1,921,53381,35,205.0,267.97715947398683,33346.70390593012,0.9584621774250559
global,31,1,922,54101,36,205.0,260.217704800707,33352.724114829296,0.9577713677621563
global,31,1,923,54635,37,205.0,452.0697214960237,33352.724114829296,0.9577713677621563
global,31,1,924,56044,39,205.0,571.4157659440243,33508.01052233093,0.9402903274511055
global,31,1,925,56765,40,205.0,161.80250290626282,33508.01052233093,0.9402903274511055
global,31,1,926,57288,41,205.0,391.9722398318263,33377.86362609467,0.9548973768303252
global,31,1,927,58684,43,205.0,481.84517029550625,33582.83157588113,0.9320933224975589
global,31,1,928,59296,44,205.0,238.82139984034438,33805.669764096456,0.9085055667904526
global,31,1,929,59940,45,205.0,246.6826365106972,33805.669764096456,0.9085055667904526
global,31,1,930,61261,47,205.0,520.7663866881849,33664.99133984715,0.9232553947527802
global,31,1,931,61942,48,205.0,142.49178365965054,33664.99133984715,0.9232553947527802
global,31,1,932,62627,49,205.0,184.53585025119537,33893.5440075315,0.8995289159445548
global,31,1,933,63156,50,205.0,375.9551099451419,33670.58928040296,0.9226593189094302
global,31,1,934,63851,51,205.0,236.51585659754346,33670.58928040296,0.9226593189094302
global,31,1,935,64480,52,205.0,322.0555234531057,33389.76509647787,0.9535427879093417
global,31,1,936,65216,53,205.0,229.22830164477637,33363.75863658035,0.9565077553781395
global,31,1,937,65798,54,205.0,393.4032297082158,33363.75863658035,0.9565077553781395
global,31,1,938,66591,55,205.0,189.65426608597045,33657.902762657905,0.9240113015018512
global,31,1,939,67171,56,205.0,407.79447210844955,33772.700233800235,0.9119199091263703
global,31,1,940,67786,57,205.0,376.42473076957685,33772.700233800235,0.9119199091263703
global,31,1,941,68449,58,205.0,330.98182930852636,33681.18548119138,0.921533126706343
global,31,1,942,69197,59,205.0,247.7796608996432,33548.049485756055,0.935886018597659
global,31,1,943,69827,60,205.0,367.04201752301014,33548.049485756055,0.935886018597659
global,31,1,944,70400,61,205.0,424.9275732054666,33446.05713599906,0.9471875303687143
global,31,1,945,71055,62,205.0,343.5483987426269,33405.10815299042,0.9518021486914133
global,31,1,946,71711,63,205.0,342.98343642635155,33405.10815299042,0.9518021486914133
global,31,1,947,72390,64,205.0,320.28818841792236,33723.9126880195,0.9170197233847092
global,31,1,948,73089,65,205.0,300.50162546792126,33641.37615339611,0.9257784706960079
global,31,1,949,73763,66,205.0,325.65108566053095,33641.37615339611,0.9257784706960079
global,31,1,950,74379,67,205.0,383.7557343940425,33826.46885246062,0.9063647233932951
global,31,1,951,74973,68,205.0,405.82900154512026,33826.46885246062,0.9063647233932951
global,31,1,952,75837,69,205.0,135.8802949407691,33944.77224984902,0.8943771598136595
global,31,1,953,76396,70,205.0,440.9162034492765,34033.97314229025,0.8855461350167217
global,31,1,954,77010,71,205.0,385.9413409398694,33845.92475169663,0.9043712471627817
global,31,1,955,77687,72,205.0,322.95893793531286,33845.92475169663,0.9043712471627817
global,33,1,1097,32660,1,237.0,0.0,33520.58499714967,0.9389026695556911
global,33,1,1098,33404,2,237.0,62.1818181818162,33460.38553611169,0.9455833857515585
global,33,1,1099,34060,3,237.0,97.76884422110743,33429.18086989119,0.9490839173443044
global,33,1,1100,34851,4,237.0,22.890396093323943,33429.18086989119,0.9490839173443044
global,33,1,1101,35648,5,237.0,65.01942417102691,33776.2421027948,0.9115518813516319
global,33,1,1102,36376,6,237.0,171.2428375308009,33675.21839935025,0.922166985513492
global,33,1,1103,37124,7,237.0,179.271614546793,33408.41850810211,0.9514274286289898
global,33,1,1104,37776,8,237.0,295.95457629179145,33408.41850810211,0.9514274286289898
global,33,1,1105,38589,9,237.0,149.99034850626776,33709.562594453135,0.9185306280587463
global,33,1,1106,39375,10,237.0,187.80237445699458,33592.077939067014,0.9310902504300016
