density,miss_len,method,survival,RMSE_p,IDSW,Frag
low,0,full,1.0,1.538539357335267,4.75,4.75
low,0,global,1.0,1.5342550140258233,4.5,4.5
low,0,rule,1.0,1.5818751554977213,6.5,6.5
low,1,full,0.9821428571428572,4.540434683697223,4.0,4.0
low,1,global,0.9821428571428572,4.585815769979026,4.25,4.25
low,1,rule,0.9821428571428572,4.526091710578948,8.25,8.25
low,2,full,0.9821428571428572,4.784573321308714,4.5,4.5
low,2,global,0.9772727272727273,5.223484465157926,3.25,3.5
low,2,rule,0.9772727272727273,5.223484498362352,4.75,4.75
low,3,full,0.9821428571428572,8.902265423695459,3.75,4.0
low,3,global,0.017857142857142856,34.685061103275046,12.5,12.75
low,3,rule,0.017857142857142856,34.685061103275046,17.0,17.25
low,4,full,0.9188311688311688,9.94747482372726,4.75,4.75
low,4,global,0.040584415584415584,34.27480788600562,12.5,12.5
low,4,rule,0.017857142857142856,34.681904878004346,14.25,14.25
low,5,full,0.0,35.0,13.25,13.25
low,5,global,0.0,35.0,12.75,12.75
low,5,rule,0.0,35.0,13.25,13.25
normal,0,full,0.9852941176470589,4.574726304843518,23.25,24.25
normal,0,global,0.9852941176470589,4.320728945494947,20.5,21.75
normal,0,rule,0.9852941176470589,4.131888504327507,28.0,29.25
normal,1,full,0.9779411764705882,6.470788837121375,22.25,23.0
normal,1,global,0.9852941176470589,5.312966113904049,19.75,20.75
normal,1,rule,1.0,4.109444357342332,25.25,25.75
normal,2,full,0.9233193277310925,11.902674315353831,25.25,26.25
normal,2,global,0.873249299719888,13.931499973452269,24.25,25.0
normal,2,rule,0.9247198879551821,10.246502690170171,27.75,28.5
normal,3,full,0.9320728291316527,12.353960896458046,23.25,24.25
normal,3,global,0.06197478991596639,33.93829894593985,45.75,47.0
normal,3,rule,0.05602240896358543,34.02987558055675,50.0,50.75
normal,4,full,0.8981092436974789,15.095850762547288,20.75,21.5
normal,4,global,0.11064425770308123,33.20749241122237,45.75,46.75
normal,4,rule,0.06057422969187675,34.11925546603675,55.25,56.0
normal,5,full,0.2107843137254902,31.926127726462724,54.5,54.75
normal,5,global,0.08858543417366946,33.94920618276494,54.0,54.25
normal,5,rule,0.03396358543417367,34.40764786908795,61.5,61.75
