track_id,sensor_lane,n_points,start_time,end_time,start_devSort,end_devSort,duration_s,avg_speed_mps,mean_geomPeak,scene_hint,confidence
77,2,8,1702722633210,1702722641120,1,13,7.91,23.842,187.5,unknown,0.7723
1,1,31,1702722633220,1702722667510,1,48,34.29,16.565,850.806,unknown,0.9301
95,2,58,1702722641510,1702722685170,12,72,43.66,15.365,199.138,unknown,0.9511
2,1,30,1702722669620,1702722701180,1,48,31.56,16.867,600.0,unknown,0.935
157,2,47,1702722671800,1702722693300,1,50,21.5,15.0,351.596,unknown,0.7719
4,1,32,1702722671880,1702722709080,1,48,37.2,16.048,2458.75,unknown,0.959
163,2,66,1702722673470,1702722728930,3,72,55.46,15.202,305.303,unknown,0.9815
176,2,21,1702722693300,1702722703190,50,72,9.89,16.101,161.905,unknown,0.8228
177,2,7,1702722696100,1702722700420,41,47,4.32,15.824,100.0,unknown,0.8784
178,2,5,1702722698050,1702722701680,43,48,3.63,17.168,100.0,unknown,0.8286
179,2,66,1702722699660,1702722738870,1,72,39.21,16.501,154.545,unknown,0.8889
5,1,30,1702722700090,1702722725470,2,48,25.38,18.33,795.833,unknown,0.8682
6,1,7,1702722705420,1702722716820,54,70,11.4,20.565,696.429,unknown,0.8881
201,2,25,1702722726970,1702722739420,1,28,12.45,14.475,236.0,unknown,0.8338
220,2,21,1702722738260,1702722749580,30,53,11.32,15.007,192.857,unknown,0.7844
221,2,6,1702722738610,1702722740870,28,33,2.26,16.176,216.667,unknown,0.7928
235,2,64,1702722748190,1702722792840,1,72,44.65,21.109,207.031,unknown,0.6922
239,2,17,1702722750450,1702722757960,55,72,7.51,16.104,232.353,unknown,0.8109
248,2,53,1702722760230,1702722791280,1,65,31.05,18.036,149.057,unknown,0.7813
249,2,64,1702722768160,1702722813440,1,72,45.28,15.6,459.375,unknown,0.9178
12,1,31,1702722773350,1702722803210,1,48,29.86,17.23,1196.323,unknown,0.9028
250,2,65,1702722773390,1702722819130,1,72,45.74,16.977,133.846,unknown,0.9127
256,2,50,1702722788030,1702722828000,1,57,39.97,14.622,193.5,unknown,0.9272
258,2,16,1702722789400,1702722801250,33,49,11.85,14.126,268.75,unknown,0.9177
259,2,4,1702722789420,1702722792170,68,72,2.75,17.517,225.0,unknown,0.7351
260,2,4,1702722789740,1702722791410,1,5,1.67,19.606,250.0,unknown,0.7531
267,2,30,1702722793510,1702722806450,10,40,12.94,15.0,193.333,unknown,0.7784
277,2,21,1702722799350,1702722816510,49,72,17.16,15.466,247.619,unknown,0.9349
278,2,28,1702722800250,1702722814980,1,31,14.73,15.01,298.214,unknown,0.8266
16,1,12,1702722804610,1702722814420,10,30,9.81,21.411,100.0,unknown,0.8368
286,2,27,1702722805320,1702722821070,39,69,15.75,16.962,179.63,unknown,0.7723
17,1,4,1702722807050,1702722812860,54,63,5.81,21.093,875.0,unknown,0.7728
297,2,25,1702722813650,1702722829230,30,57,15.58,15.144,425.0,unknown,0.8364
308,2,5,1702722819910,1702722821790,68,72,1.88,16.681,200.0,unknown,0.7869
314,2,66,1702722822330,1702722873960,1,72,51.63,15.415,111.364,unknown,0.9323
20,1,32,1702722822390,1702722856590,1,48,34.2,16.582,551.562,unknown,0.9274
21,1,4,1702722825180,1702722830950,54,63,5.77,22.701,3108.5,unknown,0.6674
328,2,16,1702722826960,1702722835350,55,72,8.39,16.157,614.062,unknown,0.854
340,2,9,1702722831980,1702722839120,63,72,7.14,15.699,177.778,unknown,0.9254
390,2,66,1702722872890,1702722921800,1,72,48.91,15.38,140.152,unknown,0.9494
26,1,31,1702722886680,1702722917950,1,48,31.27,16.702,3634.903,unknown,0.9237
393,2,66,1702722886890,1702722935830,1,72,48.94,15.347,566.288,unknown,0.9531
407,2,67,1702722899310,1702722944590,1,72,45.28,15.517,302.239,unknown,0.9218
408,2,67,1702722923570,1702722955500,1,72,31.93,16.095,226.866,unknown,0.8204
33,1,31,1702722925530,1702722954620,1,48,29.09,17.521,486.29,unknown,0.8837
409,2,22,1702722925870,1702722938640,1,32,12.77,23.912,238.636,unknown,0.7594
34,1,16,1702722927920,1702722938220,6,31,10.3,19.748,357.812,unknown,0.8577
413,2,7,1702722937210,1702722940860,20,26,3.65,15.824,100.0,unknown,0.8579
36,1,7,1702722937960,1702722941510,32,39,3.55,16.076,678.571,unknown,0.8038
415,2,9,1702722943940,1702722948830,31,39,4.89,15.404,100.0,unknown,0.8738
40,1,7,1702722958070,1702722967930,54,70,9.86,23.23,750.0,unknown,0.8674
420,2,65,1702722978450,1702723016060,1,72,37.61,15.924,206.923,unknown,0.8685
422,2,5,1702722980850,1702722983570,1,7,2.72,21.374,180.0,unknown,0.7876
423,2,47,1702722982860,1702723021010,4,61,38.15,15.432,209.574,unknown,0.8685
42,1,18,1702722984710,1702723001430,1,31,16.72,20.147,111.111,unknown,0.9467
424,2,63,1702722984760,1702723026720,1,72,41.96,15.761,924.27,unknown,0.8329
43,1,10,1702722986720,1702722994560,14,31,7.84,19.71,100.0,unknown,0.8475
425,2,38,1702722986920,1702723012750,1,46,25.83,14.983,247.368,unknown,0.8732
44,1,12,1702722988340,1702723000660,1,24,12.32,26.207,125.0,unknown,0.9358
45,1,13,1702722994360,1702723002640,32,48,8.28,19.088,115.385,unknown,0.8083
426,2,7,1702723003800,1702723007000,30,36,3.2,15.824,100.0,unknown,0.837
48,1,7,1702723005480,1702723013190,54,70,7.71,28.478,107.143,unknown,0.809
427,2,21,1702723012670,1702723024190,49,72,11.52,16.168,302.381,unknown,0.8506
49,1,4,1702723014500,1702723019530,54,63,5.03,22.846,318.75,unknown,0.7186
428,2,8,1702723017170,1702723022070,56,63,4.9,15.264,181.25,unknown,0.8726
432,2,10,1702723036500,1702723045210,1,14,8.71,17.475,100.0,unknown,0.9275
433,2,59,1702723039050,1702723084050,1,72,45.0,15.636,161.864,unknown,0.9373
434,2,6,1702723049220,1702723052500,20,25,3.28,16.176,100.0,unknown,0.8532
435,2,62,1702723049790,1702723096080,1,72,46.29,16.098,331.855,unknown,0.821
54,1,30,1702723049940,1702723082960,1,48,33.02,16.415,1632.133,unknown,0.9101
