tid1,tid2,label,p_I1,p_I2,p_P,pair_count,mean_dt_ms,std_dt_ms,speed_diff
1,77,I2,0.1880779751518017,0.7978453737973537,0.014076651050844711,3,40.0,42.42640687119285,7.276100968396733
1,95,I2,0.048889391859310405,0.6985856658618648,0.2525249422788249,26,54.23076923076923,63.31685137970029,1.2006391802755036
2,152,I1,0.47404251285042764,0.3569559243648254,0.16900156278474687,2,40.0,0.0,3.222045422553638
2,157,I2,0.45273092398461917,0.5382522033673421,0.009016872648038883,5,368.0,282.09218351453836,1.7505140742279721
2,177,I2,0.07814124110315207,0.5681823749498149,0.35367638394703305,5,36.0,12.0,1.0435718827898697
2,178,I2,0.11644738659153357,0.7972340363526966,0.08631857705576985,4,522.5,38.97114317029974,0.30100616984170614
3,95,I2,0.05576834346325888,0.8798886303288601,0.06434302620788097,6,51.666666666666664,49.469406932186104,4.510879642898052
4,157,I2,0.3812055189150551,0.5745708359296322,0.04422364515531286,2,360.0,280.0,0.9316409804412018
4,163,I2,0.050590297627491974,0.6559447234950752,0.29346497887743284,30,67.33333333333333,50.19517462421618,0.8464301371148277
5,179,I2,0.050867406935294714,0.7022240684177768,0.24690852464692836,29,103.44827586206897,51.41285644050694,1.8288031978085328
7,163,I2,0.21605623078539166,0.5986155446830145,0.18532822453159406,2,135.0,75.0,4.1558582510243465
8,163,I2,0.25116126637931774,0.6472108617485085,0.10162787187217377,2,60.0,10.0,5.446001759190443
9,179,I2,0.05683757174318448,0.9421089022919433,0.001053525964872173,6,90.0,53.22906474223771,9.60574927874606
10,235,I2,0.10332634618287725,0.5736041056073933,0.3230695482097294,3,23.333333333333332,26.246692913372705,1.7889996456798372
10,241,I2,0.04933352374804484,0.8499222788189759,0.10074419743297942,28,36.785714285714285,38.45717204414091,2.9115488208245672
11,249,I2,0.02835217151278591,0.969441101925291,0.002206726561923087,18,451.6666666666667,247.95272846967333,0.8245303084056577
11,258,I2,0.07784607456939102,0.7597366174841826,0.1624173079464263,10,46.0,76.31513611335565,2.298136853183708
