track_id,sensor_lane,seq,date,devSort,geomPeak,timeLength,rotate,pred_time,residual_ms,node_reliability,scene_hint
1,1,1,1702722633220,1,750.0,440.0,CLOCKWISE,1702722633220.0,0.0,0.8214,unknown
1,1,2,1702722633970,2,750.0,420.0,CLOCKWISE,1702722633901.818,68.182,0.7912,unknown
1,1,3,1702722636930,6,875.0,430.0,CLOCKWISE,1702722636985.075,55.075,0.8254,unknown
1,1,4,1702722638340,8,875.0,410.0,CLOCKWISE,1702722638429.169,89.169,0.8254,unknown
1,1,5,1702722639860,10,875.0,430.0,CLOCKWISE,1702722639811.256,48.744,0.8265,unknown
1,1,6,1702722641330,12,875.0,430.0,CLOCKWISE,1702722641345.548,15.548,0.8265,unknown
1,1,7,1702722642050,13,750.0,420.0,CLOCKWISE,1702722642070.425,20.425,0.8265,unknown
1,1,8,1702722642770,14,875.0,420.0,CLOCKWISE,1702722642852.953,82.953,0.8276,unknown
1,1,9,1702722644110,16,875.0,410.0,CLOCKWISE,1702722644476.802,366.802,0.7389,unknown
1,1,10,1702722645530,18,875.0,410.0,CLOCKWISE,1702722645687.276,157.276,0.8276,unknown
1,1,11,1702722648610,22,750.0,410.0,CLOCKWISE,1702722648583.105,26.895,0.8265,unknown
1,1,12,1702722650070,24,750.0,430.0,CLOCKWISE,1702722650140.562,70.562,0.7959,unknown
1,1,13,1702722650800,25,875.0,410.0,CLOCKWISE,1702722650824.344,24.344,0.7937,unknown
1,1,14,1702722651520,26,875.0,400.0,CLOCKWISE,1702722651614.36,94.36,0.7937,unknown
1,1,15,1702722652230,27,875.0,420.0,CLOCKWISE,1702722652382.388,152.388,0.7619,unknown
1,1,16,1702722652950,28,875.0,410.0,CLOCKWISE,1702722653129.523,179.523,0.8254,unknown
1,1,17,1702722654390,30,750.0,410.0,CLOCKWISE,1702722654804.961,414.961,0.8254,unknown
1,1,18,1702722655110,31,750.0,410.0,CLOCKWISE,1702722655243.68,133.68,0.7937,unknown
1,1,19,1702722655830,32,875.0,400.0,CLOCKWISE,1702722656002.873,172.873,0.3357,unknown
1,1,20,1702722657280,34,875.0,410.0,CLOCKWISE,1702722657675.043,395.043,0.7912,unknown
1,1,21,1702722658010,35,875.0,420.0,CLOCKWISE,1702722658132.818,122.818,0.7253,unknown
1,1,22,1702722658720,36,875.0,400.0,CLOCKWISE,1702722658902.213,182.213,0.7912,unknown
1,1,23,1702722659450,37,875.0,410.0,CLOCKWISE,1702722659642.028,192.028,0.7253,unknown
1,1,24,1702722660170,38,875.0,410.0,CLOCKWISE,1702722660394.112,224.112,0.8229,unknown
1,1,25,1702722660890,39,875.0,410.0,CLOCKWISE,1702722661130.211,240.211,0.8214,unknown
1,1,26,1702722663060,42,1000.0,410.0,CLOCKWISE,1702722663805.435,745.435,0.8229,unknown
1,1,27,1702722663690,43,875.0,400.0,CLOCKWISE,1702722663941.018,251.018,0.7886,unknown
1,1,28,1702722664380,44,875.0,400.0,CLOCKWISE,1702722664603.63,223.63,0.8229,unknown
1,1,29,1702722665340,45,875.0,420.0,CLOCKWISE,1702722665317.932,22.068,0.7886,unknown
1,1,30,1702722666780,47,875.0,430.0,CLOCKWISE,1702722667251.457,471.457,0.8214,unknown
1,1,31,1702722667510,48,875.0,430.0,CLOCKWISE,1702722667650.252,140.252,0.8214,unknown
2,1,1,1702722669620,1,150.0,660.0,CLOCKWISE,1702722669620.0,0.0,0.8214,unknown
2,1,2,1702722670270,2,200.0,680.0,CLOCKWISE,1702722670301.818,31.818,0.7912,unknown
2,1,3,1702722670930,3,250.0,700.0,CLOCKWISE,1702722671023.769,93.769,0.7912,unknown
2,1,4,1702722672890,6,450.0,720.0,CLOCKWISE,1702722673371.671,481.671,0.8254,unknown
2,1,5,1702722674120,8,500.0,720.0,CLOCKWISE,1702722674406.012,286.012,0.8254,unknown
2,1,6,1702722675490,10,625.0,750.0,CLOCKWISE,1702722675537.153,47.153,0.8265,unknown
2,1,7,1702722676780,12,625.0,740.0,CLOCKWISE,1702722676892.67,112.67,0.8265,unknown
2,1,8,1702722677440,13,625.0,730.0,CLOCKWISE,1702722677463.427,23.427,0.8265,unknown
2,1,9,1702722678040,14,625.0,740.0,CLOCKWISE,1702722678195.145,155.145,0.8276,unknown
2,1,10,1702722680490,18,625.0,750.0,CLOCKWISE,1702722681300.052,810.052,0.8276,unknown
2,1,11,1702722683330,22,625.0,760.0,CLOCKWISE,1702722683455.867,125.867,0.8265,unknown
2,1,12,1702722684660,24,625.0,760.0,CLOCKWISE,1702722684793.476,133.476,0.7959,unknown
2,1,13,1702722685320,25,750.0,770.0,CLOCKWISE,1702722685370.351,50.351,0.7937,unknown
2,1,14,1702722685980,26,750.0,760.0,CLOCKWISE,1702722686097.951,117.951,0.7937,unknown
2,1,15,1702722686660,27,750.0,700.0,CLOCKWISE,1702722686813.472,153.472,0.7619,unknown
2,1,16,1702722687320,28,750.0,780.0,CLOCKWISE,1702722687537.301,217.301,0.8254,unknown
2,1,17,1702722688660,30,750.0,770.0,CLOCKWISE,1702722689141.656,481.656,0.8254,unknown
2,1,18,1702722689340,31,750.0,770.0,CLOCKWISE,1702722689482.171,142.171,0.7937,unknown
2,1,19,1702722690010,32,875.0,780.0,CLOCKWISE,1702722690208.504,198.504,0.3357,unknown
2,1,20,1702722691380,34,875.0,790.0,CLOCKWISE,1702722691818.345,438.345,0.7912,unknown
2,1,21,1702722692730,36,875.0,780.0,CLOCKWISE,1702722693029.968,299.968,0.7912,unknown
2,1,22,1702722693430,37,750.0,790.0,CLOCKWISE,1702722693503.428,73.428,0.7253,unknown
2,1,23,1702722694120,38,750.0,770.0,CLOCKWISE,1702722694259.833,139.833,0.8229,unknown
2,1,24,1702722694800,39,625.0,770.0,CLOCKWISE,1702722694994.475,194.475,0.8214,unknown
2,1,25,1702722696870,42,625.0,790.0,CLOCKWISE,1702722697526.082,656.082,0.8229,unknown
2,1,26,1702722697460,43,500.0,790.0,CLOCKWISE,1702722697699.794,239.794,0.7886,unknown
2,1,27,1702722698160,44,500.0,800.0,CLOCKWISE,1702722698334.445,174.445,0.8229,unknown
2,1,28,1702722699070,45,400.0,770.0,CLOCKWISE,1702722699068.671,1.329,0.7886,unknown
2,1,29,1702722700470,47,400.0,790.0,CLOCKWISE,1702722700938.538,468.538,0.8214,unknown
2,1,30,1702722701180,48,400.0,800.0,CLOCKWISE,1702722701319.026,139.026,0.8214,unknown
4,1,1,1702722671880,1,2167.0,490.0,CLOCKWISE,1702722671880.0,0.0,0.8214,unknown
4,1,2,1702722672660,2,2167.0,510.0,CLOCKWISE,1702722672561.818,98.182,0.7912,unknown
4,1,3,1702722673440,3,2167.0,480.0,CLOCKWISE,1702722673413.769,26.231,0.7912,unknown
4,1,4,1702722675760,6,2167.0,500.0,CLOCKWISE,1702722675881.671,121.671,0.8254,unknown
4,1,5,1702722677230,8,2167.0,510.0,CLOCKWISE,1702722677362.567,132.567,0.8254,unknown
4,1,6,1702722678880,10,3334.0,490.0,CLOCKWISE,1702722678790.353,89.647,0.8265,unknown
4,1,7,1702722680440,12,3334.0,500.0,CLOCKWISE,1702722680466.207,26.207,0.8265,unknown
4,1,8,1702722681230,13,3334.0,490.0,CLOCKWISE,1702722681229.126,0.874,0.8265,unknown
4,1,9,1702722681970,14,2167.0,510.0,CLOCKWISE,1702722682072.42,102.42,0.8276,unknown
4,1,10,1702722683460,16,2167.0,490.0,CLOCKWISE,1702722683738.441,278.441,0.7389,unknown
4,1,11,1702722684980,18,2167.0,500.0,CLOCKWISE,1702722685134.562,154.562,0.8276,unknown
4,1,12,1702722688360,22,2167.0,500.0,CLOCKWISE,1702722688229.981,130.019,0.8265,unknown
