method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
rule,0.039999999999999925,0.039999999999999925,0.03500000000000002,0.034999999999999996,0.039999999999999925,0.039999999999999925,0.035,0.035,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,401,407,264,255,0.0,11
global,0.015699229948277653,0.019797396488774686,0.008780066160337023,0.010843407638996152,0.013542147758801745,0.0172032567501472,0.008648254732468424,0.010936721380585874,0.01554061971853881,0.009493018075628953,0.0,0.0,0.0,0,0.0008567217540137781,0.00020578133284375412,-0.9994697009419263,376,382,250,255,0.0,11
full,0.018304048803741056,0.02247152411882184,0.004787248127709868,0.006397582265621252,0.020665419436520498,0.024533156478123066,0.005327408366825346,0.007600535251617396,0.01434568979172141,0.004288408650469942,0.0,0.0,0.0,0,0.0016619297086549233,0.00014164686075330163,-0.9994429260706787,363,369,240,255,0.0,11
rule,0.039999999999999925,0.039999999999999925,0.03500000000000002,0.034999999999999996,0.039999999999999925,0.039999999999999925,0.035,0.035,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,375,384,271,262,0.0,22
global,0.016403388751706754,0.021786588423297216,0.008453623891447057,0.010748894209325486,0.01540922539381684,0.019909319122766098,0.008703788839705361,0.01156715265230146,0.015332688484715966,0.008001594537831397,0.0,0.0,0.0,0,0.000883244407278038,0.00022206245132795144,-0.9992351337973788,373,381,262,262,0.0,22
full,0.01879447695737006,0.021412554040030316,0.0053780428241752415,0.006857702645303939,0.021825397089688718,0.023546714911663352,0.004762386366678458,0.0058741376065485065,0.01410529029212472,0.004707152158608132,0.0,0.0,0.0,0,0.0007632301236579641,0.00019079404684944144,-0.9994841431953497,378,386,259,262,0.0,22
rule,0.05399999999999998,0.05727128425310542,0.02450000000000001,0.028372521918222218,0.08000000000000007,0.08000000000000007,0.0050000000000000044,0.0050000000000000044,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,412,420,274,255,0.25,11
global,0.05010405130425248,0.06932443376783347,0.01599030224521738,0.02058421522752537,0.11214460276601766,0.11355006305854237,0.029842646436630055,0.03164718872939126,0.015289095215349824,0.008834812161604609,,0.0,7.0,0,0.0009164628374232212,0.00021153598174997637,-0.9993442339829426,393,401,267,255,0.25,11
full,0.0483864840018011,0.059724678648038446,0.01228934013465917,0.015747285966970545,0.07747547568385715,0.08425148609588934,0.02229782455037764,0.023518438310579325,0.04352787887021105,0.008121465510837554,59.0,0.0,0.0,0,0.0020153690317121268,0.00015517071863961485,-0.9989382654694325,379,389,258,255,0.25,11
rule,0.05399999999999998,0.05727128425310542,0.02450000000000001,0.028372521918222218,0.08000000000000007,0.08000000000000007,0.0050000000000000044,0.0050000000000000044,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,417,423,298,262,0.25,22
