method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
full,31,1,889,30970,1,205.0,0.0,33510.492715290646,0.94001607987121
full,31,1,890,31693,2,205.0,41.181818181819835,33498.48602211762,0.941344138141748
full,31,1,891,32363,3,205.0,83.76884422110743,33598.82963314398,0.9303591699461282
full,31,1,892,33058,4,205.0,118.89039609332394,33469.23188772958,0.9445956972308894
full,31,1,893,33659,5,205.0,261.0194241710269,33469.23188772958,0.9445956972308894
full,31,1,894,34339,6,205.0,219.2428375308009,33453.52761202368,0.9463504902523039
full,31,1,895,35003,7,205.0,263.271614546793,33518.93339366672,0.9390846987895796
full,31,1,896,36342,9,205.0,556.9091525835902,33516.867378438605,0.9393125012434602
full,31,1,897,36927,10,205.0,257.7953969789669,33516.867378438605,0.9393125012434602
full,31,1,898,37624,11,205.0,187.51011544914945,33561.86598064842,0.9343757561823143
full,31,1,899,38302,12,205.0,238.2555911825766,33505.132147403085,0.940608548033281
full,31,1,900,38975,13,205.0,266.8682032980214,33505.132147403085,0.940608548033281
full,31,1,901,39607,14,205.0,325.13446786953864,33488.637416753554,0.9424362953954004
full,31,1,902,40325,15,205.0,251.60323546259315,33627.946032130276,0.9272195224921645
full,31,1,903,40902,16,205.0,401.5264468622627,33749.28356650523,0.9143605804052681
full,31,1,904,41566,17,205.0,320.87105111726123,33682.073547071275,0.9214388655690023
full,31,1,905,42202,18,205.0,353.36145076179673,33556.34196021021,0.9349789942013325
full,31,1,906,42920,19,205.0,274.5291719014858,33735.46825115005,0.9158066596998706
full,31,1,907,43642,20,205.0,272.75867321561236,33502.0507596207,0.9409494516305259
full,31,1,908,44213,21,205.0,425.3252931491006,33580.32273105579,0.9323658620723719
full,31,1,909,44801,22,205.0,409.42486634598754,33501.91270460667,0.9409647308734755
full,31,1,910,45484,23,205.0,315.1960127897328,33463.63960597435,0.9452198312358343
full,31,1,911,46125,24,205.0,357.73652516508446,33570.481238489374,0.9334364987665589
full,31,1,912,46823,25,205.0,301.1152322510243,33485.01634538762,0.9428384901519636
full,31,1,913,47484,26,205.0,338.38049814113765,33603.40510709609,0.9298643851376469
full,31,1,914,48151,27,205.0,332.56626808947476,33661.0171600386,0.923679038174812
full,31,1,915,49424,29,205.0,726.3926963031699,33426.806838275035,0.9493512968237914
full,31,1,916,50072,30,205.0,205.57720164576313,33494.33617214137,0.9418040253972259
full,31,1,917,50811,31,205.0,153.7948580890661,33583.657248839176,0.9320036632499382
full,31,1,918,51480,32,205.0,253.46268087219505,33465.24759184911,0.9450402853784121
full,31,1,919,52042,33,205.0,382.43128177907056,33533.69698235703,0.9374600500275057
full,31,1,920,52677,34,205.0,325.4424485157724,33599.042306300085,0.9303361601255065
full,31,1,921,53381,35,205.0,267.97715947398683,33407.67150422928,0.9515119609484971
full,31,1,922,54101,36,205.0,260.217704800707,33497.83158285485,0.941416633408072
full,31,1,923,54635,37,205.0,452.0697214960237,33537.04189432189,0.9370927423140459
full,31,1,924,56044,39,205.0,571.4157659440243,33450.799677148934,0.9466559740650458
full,31,1,925,56765,40,205.0,161.80250290626282,33450.799677148934,0.9466559740650458
full,31,1,926,57288,41,205.0,391.9722398318263,33414.26017945362,0.9507668920833731
full,31,1,927,58684,43,205.0,481.84517029550625,33604.71220293816,0.9297231344086468
full,31,1,928,59296,44,205.0,238.82139984034438,33726.52172644394,0.916745554618587
