sec,pd_true,pf_true,pd_hat_rule,pf_hat_rule,pd_var_rule,pf_var_rule,pd_ci_low_rule,pd_ci_high_rule,pf_ci_low_rule,pf_ci_high_rule,pd_hat_global,pf_hat_global,pd_var_global,pf_var_global,pd_ci_low_global,pd_ci_high_global,pf_ci_low_global,pf_ci_high_global,pd_hat_full,pf_hat_full,pd_var_full,pf_var_full,pd_ci_low_full,pd_ci_high_full,pf_ci_low_full,pf_ci_high_full
0,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9,0.017223073140471893,0.008181818181818182,0.0002713780289248836,0.722711329388275,1.0,0.0,0.04951124180823366,0.95,0.021048995905206452,0.004318181818181818,0.0007505334490201131,0.8212027668281369,1.0,0.0,0.07474489237556689
1,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9,0.008407149843325907,0.008181818181818182,0.00012430249287284905,0.722711329388275,1.0,0.0,0.03025939129861687,0.95,0.01812788353830318,0.004318181818181818,0.0006649357010163109,0.8212027668281369,1.0,0.0,0.06866912401599883
2,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9,0.02169672588943838,0.008181818181818182,0.0003140006416121203,0.722711329388275,1.0,0.0,0.056428049860993534,0.95,0.02152307632082097,0.004318181818181818,0.000646206413962042,0.8212027668281369,1.0,0.0,0.07134743341528413
3,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9,0.012629568402850204,0.008181818181818182,0.00018430769583893604,0.722711329388275,1.0,0.0,0.0392385226163261,0.95,0.046711531133525636,0.004318181818181818,0.0016348749235606489,0.8212027668281369,1.0,0.0,0.1259613608264063
4,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9,0.03894433613889991,0.008181818181818182,0.0005531255174886333,0.722711329388275,1.0,0.0,0.08504083262165155,0.95,0.048953433447597304,0.004318181818181818,0.0015535480893483504,0.8212027668281369,1.0,0.0,0.12620697925645077
5,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.916984320520225,0.004418312511011126,0.006000045434612407,6.500685953264529e-05,0.7651627985228251,1.0,0.0,0.02022117147958419,0.9529460881088243,0.040984545358727,0.0038937903337627226,0.001404471037045793,0.8306416117141197,1.0,0.0,0.11443804041454525
6,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9343535569244424,0.011351295690410603,0.004055499384431712,0.00016584895047986006,0.8095352632522693,1.0,0.0,0.036592637337863304,0.9559276681765037,0.04201273422188763,0.0035274800137405343,0.0013335817383411338,0.8395181873736686,1.0,0.0,0.11358848155302835
7,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9461443536065668,0.018331383989297192,0.002919482163437288,0.00026594105454681076,0.840241177643517,1.0,0.0,0.05029447450237225,0.9579349905376444,0.040998557862229015,0.003319211011805031,0.0012545958165113586,0.845014305882661,1.0,0.0,0.11042229507587976
8,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9570017080852937,0.010399390796733455,0.0020172096005894244,0.00015208734221517416,0.868971529159971,1.0,0.0,0.034570835392657234,0.9597730528913213,0.037787302047062765,0.003157185510951755,0.0011654603311565823,0.8496429304957103,1.0,0.0,0.10469942656998556
9,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9163898665791662,0.012836779033518477,0.003406145976831076,0.0001872708789258755,0.8019999614974928,1.0,0.0,0.039658781354032197,0.9455883904049642,0.03722629021473982,0.003660746417379541,0.0011027688852537829,0.8270003495365645,1.0,0.0,0.10231390001561462
10,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9269055889101033,0.01752564209999584,0.0027657234011901643,0.0002544605020116461,0.8238289037770814,1.0,0.0,0.04879120565685404,0.9481476105173878,0.03678939658590958,0.0034972246214621332,0.0010462852321867864,0.8322384300966423,1.0,0.0,0.10018820846727497
11,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9378879757980874,0.018504715235094428,0.002155215092302827,0.0002684082376731943,0.8468963591590225,1.0,0.0,0.05061572714448999,0.9508193938863585,0.037706617508894966,0.003343002671877281,0.0010047974739456464,0.8374947316795653,1.0,0.0,0.09983575701613098
12,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9444833758219753,0.017277737145637982,0.00181870077070638,0.00025092438834635895,0.8608967687563357,1.0,0.0,0.048325299534195516,0.9524248235697448,0.03561566222852456,0.0032587326279096907,0.00094445603264469,0.8405376157961219,1.0,0.0,0.09585038888190817
13,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9532701557688553,0.03952410026366269,0.0014071339221202724,0.0005610139767785056,0.8797470595662522,1.0,0.0,0.08594813814483268,0.9545671872231882,0.038979105455461426,0.003156429734777689,0.0009291477859170353,0.8444502472497128,1.0,0.0,0.09872367955536512
14,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9588471067321577,0.018819214588517545,0.0011684797643912645,0.00027288253818899956,0.8918483614984931,1.0,0.0,0.05119676172703409,0.9559308562064064,0.0336783066960661,0.003097514393745493,0.0008516284223617015,0.8468464334183076,1.0,0.0,0.09087634641199266
15,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9645139851639315,0.007087814447739131,0.0009445268043435092,0.00010400360592256505,0.9042770017437267,1.0,0.0,0.027076317456021817,0.9573217869445277,0.030859477891648883,0.0030425151114269284,0.0007955724385830168,0.8492101499573019,1.0,0.0,0.08614302951471772
16,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9707001179205945,0.008358795136176739,0.0007220056721272628,0.00012249643862140164,0.9180345979854027,1.0,0.0,0.030051704544736404,0.9588497682748436,0.029923404116287907,0.0029881525575516992,0.0007566927792296475,0.8517083343424446,1.0,0.0,0.08383918084897177
17,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9771685642047743,0.012252144920844192,0.000514553943712275,0.00017884773200516508,0.9327083524400394,1.0,0.0,0.03846400191860462,0.9604652663686284,0.030364243913143418,0.00293772540981708,0.0007308685486925736,0.8542317220695075,1.0,0.0,0.08335202190635041
18,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9588499937214144,0.01813357475321726,0.0008553992005156331,0.00026312435792936106,0.9015254652130974,1.0,0.0,0.04992694722959091,0.9552134245080195,0.032325073800926744,0.0030139956255443028,0.0007187347830272533,0.8476096811015237,1.0,0.0,0.08487116349823434
